alle;et;to;tre;fire;fem;seks
1100111010770000000005;1100111010770000000005;210011102077-000000003;350401142079-000000118;4201210320920000000002;;652599100181-000036540
1100111010780000000428;1100111010780000000428;210011102079-000000341;3504011710400000005173;420121032097-000000060;;652599100381-000000594
110011101079-000088283;110011101079-000088283;2100111020860000000003;3504011710480000000150;4201210410010000000031;;652599179060-001081990
110011101085-000000016;110011101085-000000016;2100111020920000000017;3504011710490000000034;420121041006-000000026;;652599179081-040586958
1100111010910000066400;1100111010910000066400;2100111020940000001596;350401171076-000030000;4201210410290000000270;;6525992790400000000025
1100111010920000000143;1100111010920000000143;210011102097-000000319;350401172081-000000190;4201210410400000008731;;6525992790600000000469
1100111010940000187044;1100111010940000187044;2100111030290000000008;3504011790260000000286;4201210410490000000259;;652599279081-000015670
110011101097-000398644;110011101097-000398644;2100111030400000008030;3504011790290000000001;420121041079-000010173;;652619079060-000000041
1100111015100000000578;1100111015100000000578;2100111030490000000004;3504011790400000029884;4201210790400000000010;;652619179060-000000102
110011101607-000000045;110011101607-000000045;2100111030520000000899;3504011790480000002104;4201211010030000004056;;652619279060-000000029
1100111016100000008092;1100111016100000008092;2100111030910000000007;3504011790490000000060;420121101005-000001819;;6526291790600000003239
1100111016400000000004;1100111016400000000004;210011103097-000000007;350401179079-000011454;420121101006-000000020;;6556390790600000017415
110011101677-000000356;110011101677-000000356;2100111110220000048882;3504011790940000002010;4201211010070000007905;;655639079081-000088415
110011101685-000003007;110011101685-000003007;2100111110230000000001;350401179097-000002015;4201211010100001200331;;655639279060-000012221
110011102010-000005831;110011102010-000005831;2100111110290000047104;350401184076-000012689;4201211010220000002758;;655639279081-000000354
1100111020220000006530;1100111020220000006530;2100111110400000029762;350401381078-000000500;4201211010290000006112;;655689079060-000015055
1100111020290000005734;1100111020290000005734;2100111110450000000123;350401384076-000003165;420121101040-000009485;;6557090790600001509887
1100111020400000266157;1100111020400000266157;2100111110490000028198;350401384086-000021260;4201211010450000000048;;655709079081-004202562
1100111020450000000015;1100111020450000000015;2100111110520000005113;3504014010400000000001;4201211010470000000004;;655709079089-000088000
1100111020470000000062;1100111020470000000062;2100111110600000000823;3504031030260000001800;4201211010490000023409;;6557091790600000028218
1100111020480000000765;1100111020480000000765;210011111072-000023525;350411011040-000000350;4201211010600000011074;;655739079009-000170338
1100111020490000127598;1100111020490000127598;210011111076-000000009;3504110110490000003580;420121101072-000002559;;655739079060-000047501
1100111020520000000037;1100111020520000000037;210011111079-000016100;350411011079-000000002;420121101078-000000013;;655739100181-000630835
110011102072-000064015;110011102072-000064015;2100111110920000000105;3504111010400000000011;420121101079-000000811;;655739179009-000885486
110011102078-000000003;110011102078-000000003;2100111110940000003237;3504111010490000000001;4201211010910000002359;;655779079060-000017234
110011102079-000006109;110011102079-000006109;210011111097-000001409;3504111020490000000037;4201211010920000001178;;6557890920600000049112
1100111020920000000415;1100111020920000000415;210011131000-000002251;3504111110290000000465;4201211010940000010164;;655789092160-000106570
1100111020940000025288;1100111020940000025288;2100111310010000012308;3504111110400000000428;420121101097-000024571;;655789092181-000180841
110011102097-000002995;110011102097-000002995;210011131008-000000001;3504111110480000000020;4201211016070000000002;;6557891920600001118704
1100111030400000039274;1100111030400000039274;2100111310230000000010;3504111110490000009569;4201211016100000000047;;655789192160-000125000
1100111030470000000004;1100111030470000000004;2100111310270000004859;3504111110920000000001;420121101677-000000292;;655799079000-000558043
1100111030490000002021;1100111030490000002021;2100111310290000033005;3504111110940000000001;4201211020220000000019;;6557990790060000112613
1100111030520000023574;1100111030520000023574;2100111310400000001213;3504111320290000000067;4201211020290000001185;;6557990790090000309334
1100111030940000013314;1100111030940000013314;2100111310450000000352;3504111320480000000404;4201211020400000009350;;655799079060-000106237
1100111110020000013005;1100111110020000013005;2100111310490000000421;3504111320490000000083;4201211020480000000004;;6557991001090000240032
1100111110100000000880;1100111110100000000880;210011131072-000000105;3504111790400000000006;4201211020490000019812;;6557991006090000003278
1100111110220000458501;1100111110220000458501;2100111310790000000180;350411179079-000000045;420121102072-000000662;;655799179000-000329561
1100111110230000016473;1100111110230000016473;2100111310920000000120;3605010110290000000002;420121102079-000005990;;6557991790060000003096
1100111110270000005512;1100111110270000005512;2100111310940000000268;3605010110400000008505;4201211020920000000176;;6557991790090000115833
1100111110290000966381;1100111110290000966381;210011131097-000000279;3605010110490000008556;4201211020940000003482;;655799179081-000379189
1100111110400000995192;1100111110400000995192;2100111320010000003267;360501011079-000006760;4201211020970000000064;;655799279000-000002161
1100111110450000000153;1100111110450000000153;210011132006-000000360;360501011097-000002900;4201211030060000016017;;6557992790090000001765
1100111110460000000050;1100111110460000000050;2100111320230000003368;360501079079-000000286;420121103040-000038557;;655799279060-000000796
1100111110470000007314;1100111110470000007314;2100111320290000006561;3605011010070000000389;4201211030490000002251;;6588080001000000281556
1100111110480000022516;1100111110480000022516;2100111320400000013440;3605011010100000017036;4201211030520000042531;;6588080002000000015979
1100111110490001145516;1100111110490001145516;2100111320450000011086;3605011010220000000221;4201211030940000000086;;6588080003000000028746
110011111052-000007206;110011111052-000007206;2100111320490000019124;3605011010290000000010;4201211110020000000063;;6588080004000000004471
110011111072-000569994;110011111072-000569994;2100111320600000000199;3605011010400000001586;4201211110220000007963;;6588080006000000007560
1100111110780000000924;1100111110780000000924;210011132072-000000012;3605011010490000000126;4201211110290000012945;;658808100100-000079551
110011111079-000532101;110011111079-000532101;210011132079-000000741;3605011020290000000041;420121111040-000008189;;658808100109-000081936
1100111110910000005099;1100111110910000005099;2100111320940000000554;3605011020400000000111;4201211110450000000009;;658808100300-000001639
1100111110920000046020;1100111110920000046020;210011132097-000000354;3605011020490000000306;4201211110480000000042;;658808100600-000002637
1100111110940000755308;1100111110940000755308;210011141000-000002181;360501102079-000000198;420121111049-000011061;;6588082004000000003217
110011111097-000328159;110011111097-000328159;2100111410010000086269;3605011030400000001379;420121111072-000019470;;6588180001000000856120
1100111120020000145428;1100111120020000145428;2100111410050000000172;3605011110220000000173;4201211110780000000013;;658818000109-001242499
110011112022-000000517;110011112022-000000517;210011141008-000001526;3605011110290000000453;420121111079-000007463;;6588180001600004610621
1100111120290008563580;1100111120290008563580;2100111410230000000014;3605011110400000002860;4201211110920000000825;;658818000200-000010120
1100111120400000092865;1100111120400000092865;2100111410290000008069;3605011110490000040177;420121111094-000001705;;658818000209-000019085
1100111120480000000040;1100111120480000000040;2100111410400000026084;360501111072-000000029;420121111097-000014055;;6588180002600000074556
1100111120490000000497;1100111120490000000497;2100111410450000042308;360501111079-000002868;420121131000-000003162;;6588180003000000178256
110011112072-000015404;110011112072-000015404;2100111410490000025604;3605011110940000000243;4201211310010000028497;;658818000309-000076872
110011112079-000011276;110011112079-000011276;2100111410600000005240;3605011310290000000126;4201211310020000000343;;6588180003600000224546
